to_stop_I,n_vehicles,route_I_counts,route_type,from_stop_I,duration_avg,BUS,TRAM,RAIL,SUBWAY,id,stop_I,name,latitude,longitude,lon_bus,lat_bus,lon_tram,lat_tram,stop_lon,stop_lat
137,353,"{'90': 103, '156': 59, '356': 17, '360': 7, '101': 69, '119': 98}",3,136,81.0,1,0,0,0,87,136,TIBURTINA/PORTONACCIO,41.908064,12.535477,12.535477,41.908064,12.540447,41.908369,12.535477,41.908064
1165,91,"{'150': 35, '76': 56}",3,136,67.0,1,0,0,0,87,136,TIBURTINA/PORTONACCIO,41.908064,12.535477,12.535477,41.908064,12.53842,41.910177,12.535477,41.908064
138,353,"{'90': 103, '156': 59, '356': 17, '360': 7, '101': 69, '119': 98}",3,137,49.0,1,0,0,0,88,137,TIBURTINA/OTTOBONI,41.908369,12.540447,12.540447,41.908369,12.543423,41.90849,12.540447,41.908369
1131,189,"{'356': 17, '101': 69, '90': 103}",3,138,62.0,1,0,0,0,89,138,TIBURTINA/GALLA PLACIDIA,41.90849,12.543423,12.543423,41.90849,12.547005,41.909381,12.543423,41.90849
4036,164,"{'360': 7, '119': 98, '156': 59}",3,138,69.0,1,0,0,0,89,138,TIBURTINA/GALLA PLACIDIA,41.90849,12.543423,12.543423,41.90849,12.546893,41.908415,12.543423,41.90849
140,357,"{'90': 103, '156': 59, '356': 16, '360': 7, '101': 70, '119': 102}",3,139,50.0,1,0,0,0,90,139,TIBURTINA/GALLA PLACIDIA,41.908804,12.542928,12.542928,41.908804,12.540374,41.908686,12.542928,41.908804
153,357,"{'90': 103, '156': 59, '356': 16, '360': 7, '101': 70, '119': 102}",3,140,100.0,1,0,0,0,91,140,TIBURTINA/OTTOBONI,41.908686,12.540374,12.540374,41.908686,12.535116,41.908366,12.540374,41.908686
6315,63,"{'371': 11, '312': 52}",3,141,35.0,1,0,0,0,92,141,PALMAROLA NUOVA,41.948018,12.392367,12.392367,41.948018,12.390098,41.947615,12.392367,41.948018
2500,63,"{'257': 33, '268': 30}",3,142,32.0,1,0,0,0,93,142,TOR PAGNOTTA/CECCHIGNOLA,41.803728,12.505873,12.505873,41.803728,12.502707,41.804067,12.505873,41.803728
7373,58,{'79': 58},3,143,66.0,1,0,0,0,94,143,MOROSINI E./NUOVO REGINA MARGHERITA (H),41.885852,12.469251,12.469251,41.885852,12.470575,41.884593,12.469251,41.885852
7824,175,"{'153': 63, '183': 112}",3,144,129.0,1,0,0,0,95,144,XXI APRILE/NARDINI,41.917966,12.520179,12.520179,41.917966,12.522757,41.920859,12.520179,41.917966
2882,176,"{'121': 108, '366': 14, '91': 42, '348': 12}",3,144,126.0,1,0,0,0,95,144,XXI APRILE/NARDINI,41.917966,12.520179,12.520179,41.917966,12.516903,41.921569,12.520179,41.917966
8252,79,"{'191': 40, '64': 39}",3,145,24.0,1,0,0,0,96,145,CHIODELLI/DANUSSO,41.90464,12.661747,12.661747,41.90464,12.660363,41.903316,12.661747,41.90464
7997,22,{'40': 22},3,146,37.0,1,0,0,0,97,146,MERCOGLIANO/SPREGAMORE,41.734569,12.556244,12.556244,41.734569,12.560202,41.733674,12.556244,41.734569
703,244,"{'117': 89, '114': 76, '201': 76, '218': 3}",3,147,54.0,1,0,0,0,98,147,OSLAVIA/BAINSIZZA,41.918895,12.461541,12.461541,41.918895,12.462924,41.916598,12.461541,41.918895
1729,51,{'214': 51},3,148,114.0,1,0,0,0,99,148,LEVI CIVITA,41.855584,12.473056,12.473056,41.855584,12.472224,41.852322,12.473056,41.855584
151,58,{'79': 58},3,149,73.0,1,0,0,0,100,149,MAMELI,41.888044,12.467598,12.467598,41.888044,12.466102,41.88762,12.467598,41.888044
2445,58,{'79': 58},3,150,46.0,1,0,0,0,101,150,GARIBALDI/IACOBUCCI,41.888462,12.465997,12.465997,41.888462,12.463197,41.889214,12.465997,41.888462
150,58,{'79': 58},3,151,53.0,1,0,0,0,102,151,GARIBALDI/FABRIZI,41.88762,12.466102,12.466102,41.88762,12.465997,41.888462,12.466102,41.88762
145,79,"{'191': 40, '64': 39}",3,152,39.0,1,0,0,0,103,152,CHIODELLI/CORBELLINI,41.907874,12.662415,12.662415,41.907874,12.661747,41.90464,12.662415,41.907874
8342,448,"{'90': 103, '156': 59, '360': 7, '356': 16, '150': 35, '101': 70, '119': 102, '76': 56}",3,153,199.0,1,0,0,0,104,153,TIBURTINA/PORTONACCIO,41.908366,12.535116,12.535116,41.908366,12.525444,41.90863,12.535116,41.908366
7503,376,"{'297': 154, '309': 60, '295': 79, '371': 11, '154': 72}",3,154,84.0,1,0,0,0,105,154,ACQUEDOTTO DEL PESCHIERA,41.936465,12.425338,12.425338,41.936465,12.42916,41.936537,12.425338,41.936465
3548,71,{'292': 71},3,154,109.0,1,0,0,0,105,154,ACQUEDOTTO DEL PESCHIERA,41.936465,12.425338,12.425338,41.936465,12.427267,41.937483,12.425338,41.936465
3551,148,"{'303': 75, '154': 73}",3,154,68.0,1,0,0,0,105,154,ACQUEDOTTO DEL PESCHIERA,41.936465,12.425338,12.425338,41.936465,12.426202,41.933245,12.425338,41.936465
2481,311,"{'247': 94, '245': 56, '120': 80, '246': 81}",3,155,83.0,1,0,0,0,106,155,BOSTON,41.829028,12.471226,12.471226,41.829028,12.473268,41.826575,12.471226,41.829028
846,197,"{'260': 92, '63': 42, '227': 63}",3,155,99.0,1,0,0,0,106,155,BOSTON,41.829028,12.471226,12.471226,41.829028,12.472392,41.82584,12.471226,41.829028
4310,54,{'252': 54},3,156,79.0,1,0,0,0,107,156,BOSTON,41.829682,12.471742,12.471742,41.829682,12.465568,41.831944,12.471742,41.829682
783,322,"{'247': 93, '245': 56, '246': 81, '260': 92}",3,156,72.0,1,0,0,0,107,156,BOSTON,41.829682,12.471742,12.471742,41.829682,12.468293,41.831155,12.471742,41.829682
143,58,{'79': 58},3,157,58.0,1,0,0,0,108,157,MAMELI,41.888385,12.467551,12.467551,41.888385,12.469251,41.885852,12.467551,41.888385
5196,82,"{'31': 59, '36': 23}",3,158,27.0,1,0,0,0,109,158,CIVITACAMPOMARANO/CASE ROSSE,41.931996,12.643026,12.643026,41.931996,12.640946,41.931094,12.643026,41.931996
112,58,{'79': 58},3,159,63.0,1,0,0,0,110,159,GARIBALDI/IACOBUCCI,41.888386,12.465772,12.465772,41.888386,12.466636,41.88762,12.465772,41.888386
5974,67,{'72': 67},3,160,50.0,1,0,0,0,111,160,S. ARCANGELO DI ROMAGNA,41.789929,12.407778,12.407778,41.789929,12.407462,41.791714,12.407778,41.789929
290,83,{'126': 83},3,161,181.0,1,0,0,0,112,161,STAZIONE GROTTAROSSA,41.964001,12.488956,12.488956,41.964001,12.48454,41.954898,12.488956,41.964001
2031,74,{'99': 74},3,161,184.0,1,0,0,0,112,161,STAZIONE GROTTAROSSA,41.964001,12.488956,12.488956,41.964001,12.482623,41.956221,12.488956,41.964001
7981,123,"{'150': 35, '231': 88}",3,162,32.0,1,0,0,0,113,162,STAZ.NE TIBURTINA (MB),41.909096,12.530759,12.530759,41.909096,12.530213,41.909889,12.530759,41.909096
6900,55,{'253': 55},3,163,82.0,1,0,0,0,114,163,LAURENTINA/TOR PAGNOTTA,41.802706,12.481647,12.481647,41.802706,12.482456,41.800771,12.481647,41.802706
3550,211,"{'271': 65, '225': 14, '224': 40, '37': 41, '228': 51}",3,163,64.0,1,0,0,0,114,163,LAURENTINA/TOR PAGNOTTA,41.802706,12.481647,12.481647,41.802706,12.480909,41.800408,12.481647,41.802706
165,54,"{'225': 14, '224': 40}",3,164,33.0,1,0,0,0,115,164,LAURENTINA/CIMITERO LAURENTINO,41.764162,12.498068,12.498068,41.764162,12.500043,41.761258,12.498068,41.764162
3557,54,"{'225': 14, '224': 40}",3,165,129.0,1,0,0,0,116,165,LAURENTINA/MANDRIOLA,41.761258,12.500043,12.500043,41.761258,12.50151,41.748539,12.500043,41.761258
168,53,"{'225': 14, '224': 39}",3,166,91.0,1,0,0,0,117,166,LAURENTINA/CIVICO 1569,41.745727,12.50346,12.50346,41.745727,12.501545,41.748744,12.50346,41.745727
8108,53,"{'225': 14, '224': 39}",3,167,181.0,1,0,0,0,118,167,LAURENTINA/CIMITERO LAURENTINO,41.763711,12.499105,12.499105,41.763711,12.483844,41.77351,12.499105,41.763711
3532,53,"{'225': 14, '224': 39}",3,168,350.0,1,0,0,0,119,168,LAURENTINA/BOSCOTRECASE,41.748744,12.501545,12.501545,41.748744,12.500337,41.76105,12.501545,41.748744
7065,47,{'305': 47},3,169,41.0,1,0,0,0,120,169,QUATTRO VENTI/REGNOLI,41.883656,12.458725,12.458725,41.883656,12.456655,41.8843,12.458725,41.883656
2631,26,{'304': 26},3,170,319.0,1,0,0,0,121,170,G.R.A.,41.857694,12.376749,12.376749,41.857694,12.383385,41.885082,12.376749,41.857694
855,6,{'356': 6},3,171,104.0,1,0,0,0,122,171,COLOSSEO (MB),41.891308,12.492325,12.492325,41.891308,12.492765,41.889323,12.492325,41.891308
7015,72,"{'307': 47, '304': 25}",3,172,129.0,1,0,0,0,123,172,CORNELIA/VILLATA,41.899737,12.389355,12.389355,41.899737,12.385231,41.89236,12.389355,41.899737
7520,3,{'258': 3},3,173,103.0,1,0,0,0,124,173,OCEANO PACIFICO/VELODROMO,41.824976,12.45607,12.45607,41.824976,12.459027,41.821911,12.45607,41.824976
7112,84,"{'103': 76, '365': 8}",3,174,102.0,1,0,0,0,125,174,TEANO (MC),41.8902,12.551109,12.551109,41.8902,12.556714,41.88994,12.551109,41.8902
8284,16,{'338': 16},3,174,361.0,1,0,0,0,125,174,TEANO (MC),41.8902,12.551109,12.551109,41.8902,12.561807,41.885774,12.551109,41.8902
3413,53,{'146': 53},3,174,64.0,1,0,0,0,125,174,TEANO (MC),41.8902,12.551109,12.551109,41.8902,12.55391,41.88869,12.551109,41.8902
1294,61,{'80': 61},3,175,23.0,1,0,0,0,126,175,PTA S. SEBASTIANO/SEPOLCRO SCIPIONI,41.873796,12.501353,12.501353,41.873796,12.5016,41.872977,12.501353,41.873796
4253,250,"{'187': 67, '160': 103, '162': 67, '298': 3, '370': 10}",3,176,82.0,1,0,0,0,127,176,VINCI,41.938177,12.419366,12.419366,41.938177,12.418084,41.93512,12.419366,41.938177
656,13,{'180': 13},3,177,93.0,1,0,0,0,128,177,PITAGORA,41.921548,12.489647,12.489647,41.921548,12.493176,41.920839,12.489647,41.921548
471,39,{'180': 39},3,177,139.0,1,0,0,0,128,177,PITAGORA,41.921548,12.489647,12.489647,41.921548,12.490936,41.918517,12.489647,41.921548
6455,48,{'305': 48},3,178,140.0,1,0,0,0,129,178,BUOZZI/MONTI PARIOLI,41.919113,12.476791,12.476791,41.919113,12.472568,41.919576,12.476791,41.919113
3219,65,{'130': 65},3,179,86.0,1,0,0,0,130,179,NOMENTANA/MONTE ARGENTARIO,41.999569,12.629432,12.629432,41.999569,12.625642,41.99901,12.629432,41.999569
332,2,{'100': 2},3,180,323.0,1,0,0,0,131,180,VENEZUELA/INDIA,41.933007,12.47829,12.47829,41.933007,12.466742,41.934368,12.47829,41.933007
1777,153,"{'360': 7, '33': 65, '31': 58, '36': 23}",3,182,69.0,1,0,0,0,132,182,TIBURTINA/ZOE FONTANA,41.934304,12.608046,12.608046,41.934304,12.611194,41.93526,12.608046,41.934304
